"flag","content"
"$ON","ACTIVADO"
"$OFF","DESACTIVADO"
"$SETTINGS","CONFIGURACIONES"
"$VOLUME","Volumen principal"
"$MUSIC_VOL","Volumen de la música"
"$SFX_VOL","Volumen de efectos de sonido"
"$FPS_DISP","Contador de FPS"
"$FLSCRN","Pantalla Completa"
"$SKIP_SPLASH","Saltar Splash"
"$LANG","Idioma"
"$FILTER","Filtro"
"$CTRLS","Controles"
"$DEVICE","ELEGIR DISPOSITIVO"
"$KEYBOARD","Teclado"
"$GAMEPAD","Gamepad"
"$KBBINDS","ASIGNAR TECLAS"
"$GPBINDS","ASIGNAR BOTONES"
"$PRESS_ANY","PRESIONE CUALQUIER"
"$KEY","TECLA"
"$BTN","BOTÓN"
