"flag","content"
"$ON","ACTIVÉ"
"$OFF","DÉSACTIVÉ"
"$SETTINGS","PARAMÈTRES"
"$VOLUME","Volume principal"
"$MUSIC_VOL","Volume de la musique"
"$SFX_VOL","Volume des effets sonores"
"$FPS_DISP","Compteur FPS"
"$FLSCRN","Plein écran"
"$SKIP_SPLASH","Sauter Splash"
"$LANG","Langue"
"$FILTER","Filtre"
"$CTRLS","Contrôles"
"$DEVICE","CHOISIR L'APPAREIL"
"$KEYBOARD","Clavier"
"$GAMEPAD","Manette de jeu"
"$KBBINDS","LIAISONS DE CLAVIER"
"$GPBINDS","LIAISONS DE LA MANETTE DE JEU"
"$PRESS_ANY","UTILISER UNE"
"$KEY","CLÉ"
"$BTN","BOUTON"
